   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.023    0.002   14.730    1.227 __init__.py:1(<module>)
        3    0.000    0.000    0.133    0.044 __init__.py:10(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1007(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:101(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        2    0.000    0.000    0.000    0.000 __init__.py:1053(_fixupParents)
        1    0.010    0.010    0.893    0.893 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1094(Logger)
        3    0.000    0.000    0.000    0.000 __init__.py:1109(__init__)
        1    0.007    0.007    0.010    0.010 __init__.py:119(<module>)
        2    0.003    0.002    1.777    0.888 __init__.py:12(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1369(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1375(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1383(LoggerAdapter)
        1    0.010    0.010   20.917   20.917 __init__.py:14(<module>)
        1    0.017    0.017    0.897    0.897 __init__.py:141(<module>)
        1    0.007    0.007   14.293   14.293 __init__.py:142(<module>)
        1    0.007    0.007    0.080    0.080 __init__.py:147(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.003    0.003    0.207    0.207 __init__.py:15(<module>)
        1    0.000    0.000    0.257    0.257 __init__.py:153(<module>)
        2    0.003    0.002    0.003    0.002 __init__.py:1549(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1671(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        2    0.037    0.018   26.457   13.228 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        2    0.013    0.007    0.050    0.025 __init__.py:173(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:18(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        3    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        6    0.050    0.008    1.077    0.179 __init__.py:2(<module>)
        1    0.003    0.003    0.007    0.007 __init__.py:20(<module>)
        1    0.000    0.000    0.203    0.203 __init__.py:20(detect)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        2    0.000    0.000    0.000    0.000 __init__.py:210(_acquireLock)
        2    0.000    0.000    0.000    0.000 __init__.py:219(_releaseLock)
        1    0.010    0.010    0.017    0.017 __init__.py:22(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:230(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.007    0.007    0.007    0.007 __init__.py:24(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:241(add_constructor)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.003    0.003    0.003    0.003 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:276(YAMLObjectMetaclass)
       13    0.000    0.000    0.003    0.000 __init__.py:280(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:286(YAMLObject)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        1    0.013    0.013   19.927   19.927 __init__.py:317(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:346(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        2    0.007    0.003    0.107    0.053 __init__.py:38(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:390(__init__)
        1    0.013    0.013    0.023    0.023 __init__.py:4(<module>)
        1    0.000    0.000    0.293    0.293 __init__.py:42(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        2    0.020    0.010    0.600    0.300 __init__.py:44(<module>)
        1    0.083    0.083    0.200    0.200 __init__.py:45(<module>)
        1    0.007    0.007    0.010    0.010 __init__.py:47(<module>)
        1    0.013    0.013    0.330    0.330 __init__.py:48(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:494(BufferingFormatter)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.000    0.000   14.127   14.127 __init__.py:52(<module>)
        1    0.010    0.010    0.013    0.013 __init__.py:525(<module>)
        1    0.007    0.007    0.037    0.037 __init__.py:53(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:536(Filter)
        1    0.023    0.023    0.937    0.937 __init__.py:54(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:573(Filterer)
        3    0.000    0.000    0.000    0.000 __init__.py:578(__init__)
        1    0.003    0.003    0.210    0.210 __init__.py:6(<module>)
        1    0.000    0.000    0.973    0.973 __init__.py:60(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:646(Handler)
        1    0.003    0.003    0.913    0.913 __init__.py:65(<module>)
        3    0.003    0.001    0.003    0.001 __init__.py:78(CFUNCTYPE)
        3    0.000    0.000    0.103    0.034 __init__.py:8(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:80(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:810(StreamHandler)
        1    0.013    0.013    0.043    0.043 __init__.py:83(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:86(<module>)
        1    0.010    0.010    0.017    0.017 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:881(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:945(PlaceHolder)
        3    0.000    0.000    0.000    0.000 __init__.py:951(__init__)
        1    0.007    0.007   14.200   14.200 __init__.py:96(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:992(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:997(__init__)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:14(Storage)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:149(AdaptiveStepsize)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:216(RandomDisplacement)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:230(MinimizerWrapper)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:246(Metropolis)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:36(BasinHoppingRunner)
        1    0.000    0.000    0.000    0.000 _binned_statistic.py:1(<module>)
        1    0.003    0.003    0.003    0.003 _compat.py:1(<module>)
      244    0.000    0.000    0.000    0.000 _compat.py:21(<lambda>)
       61    0.003    0.000    0.003    0.000 _compat.py:23(<lambda>)
        1    0.000    0.000    0.000    0.000 _components.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:148(DataSource)
        1    0.003    0.003    0.007    0.007 _datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:47(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:482(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:70(__init__)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.003    0.003    0.003    0.003 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:105(SAXNotRecognizedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:115(SAXNotSupportedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:125(SAXReaderNotAvailable)
        1    0.000    0.000    0.000    0.000 _exceptions.py:46(SAXParseException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:9(SAXException)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:334(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:6(PackageLoader)
       40    0.007    0.000    0.010    0.000 _inspect.py:118(getargspec)
       40    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       74    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
       31    0.013    0.000    0.027    0.001 _inspect.py:157(formatargspec)
        3    0.000    0.000    0.000    0.000 _inspect.py:159(<lambda>)
        1    0.000    0.000    0.000    0.000 _inspect.py:160(<lambda>)
       43    0.007    0.000    0.007    0.000 _inspect.py:161(<lambda>)
       40    0.003    0.000    0.003    0.000 _inspect.py:24(isfunction)
       31    0.000    0.000    0.000    0.000 _inspect.py:37(iscode)
       31    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:191(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:212(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:219(_ctypes)
        1    0.003    0.003    0.057    0.057 _internal.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:145(LineSplitter)
